bvid,page,title,tags,song_name,vocal_singer
BV16W411g7YX,2264,【IA】セツナドライブ｜滝 善充（9mm Parabellum Bullet）_so22111664,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",セツナドライブ|滝 善充(9mm Parabellum Bullet)_so22111664,IA
BV16W411g7YX,2273,ゲラゲラと笑うな／歌、IA_sm22167866,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",ゲラゲラと笑うな/歌、IA_sm22167866,IA
BV16W411g7YX,2340,【IA・鏡音リン】Anti the EuphoriaHOLiC (from幻奏楽土小説版)_sm22777981,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",Anti the EuphoriaHOLiC (from幻奏楽土小説版)_sm22777981,IA・鏡音リン
BV16W411g7YX,2536,サンデーミナミパーク／歌、ROCKSなIA_sm24712348,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",サンデーミナミパーク/歌、ROCKSなIA_sm24712348,IA
BV16W411g7YX,2563,オーヴァークロック ／ feat. IA ROCKS_sm25027572,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",オーヴァークロック / ROCKS_sm25027572,IA
BV16W411g7YX,2624,サイコなわたし／歌、IA_sm25565367,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",サイコなわたし/歌、IA_sm25565367,IA
BV16W411g7YX,2685,プラトニック・ラヴ／IA_sm26405032,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",プラトニック・ラヴ/IA_sm26405032,IA
BV16W411g7YX,2770,ハチスは夏に背を向けて／IA／MV_sm27546102,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",ハチスは夏に背を向けて/IA/MV_sm27546102,IA
BV16W411g7YX,2774,壊れぬハートが欲しいのだ／歌、IAとmiki_sm27657095,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",壊れぬハートが欲しいのだ/歌、IAとmiki_sm27657095,IA
BV16W411g7YX,2910,なんで生きてんだろうってすげえ思うんだ／IA_sm30495535,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",なんで生きてんだろうってすげえ思うんだ/IA_sm30495535,IA
BV16W411g7YX,2915,取り柄のないクズだって生きてていいだろが／IA_sm30599869,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",取り柄のないクズだって生きてていいだろが/IA_sm30599869,IA
BV16W411g7YX,2951,てるみい／歌、IAとOИE_sm31413058,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",てるみい/歌、IAとOИE_sm31413058,IA
BV16W411g7YX,2956,マチガイサガシ／IA feat.まふまふ_sm31480307,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",マチガイサガシ/IA,IA
BV16W411g7YX,3417,【IA】Historia_opening theme（歴史秘話ヒストリアテーマ曲）_sm18422019,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",Historia_opening theme(歴史秘話ヒストリアテーマ曲)_sm18422019,IA
BV16W411g7YX,3520,【IA】 Schubert Ave Maria (Ellens dritter Gesang)_sm16808464,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",Schubert Ave Maria (Ellens dritter Gesang)_sm16808464,IA
BV16W411g7YX,3521,【IA】 magnet 【初音ミク】_sm16808169,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",magnet _sm16808169,IA
BV16W411g7YX,3715,IAオリジナル曲　『CARLA』_sm17429124,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",IAオリジナル曲 『CARLA』_sm17429124,IA
BV16W411g7YX,3924,"『キミの全てを見せてよ』 _ 初音ミク, GUMI, 鏡音リン, IA_sm31389917","MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI","『キミの全てを見せてよ』 _ 初音ミク, GUMI, 鏡音リン, IA_sm31389917",IA
BV16W411g7YX,3975,‐ IA ‐　『 Let-ters 』　オリジナル曲_sm19802092,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",‐ IA ‐ 『 Let-ters 』 オリジナル曲_sm19802092,IA
BV16W411g7YX,3978,ひとりがち／IA_sm33144790,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",ひとりがち/IA_sm33144790,IA
BV1Rx411N7h7,1,【IA】明日的夜空哨戒班,"VOCALOID,IA,良曲,アスノヨゾラ哨戒班,字幕付,ORANGESTAR",明日的夜空哨戒班,IA
BV1bx411w7QC,1,【IA】塵塵呪詛(チリチリジュソ),"IA -ARIA ON THE PLANETES-,VOCALOID,きくお",塵塵呪詛(チリチリジュソ),IA
BV1bx411w7M3,1,IA「イアイア★ナイトオブデザイア」[samfree night series],"IA -ARIA ON THE PLANETES-,SAMFREE,VOCALOID,HARU,恒例行事",IA「イアイア★ナイトオブデザイア」,IA
BV18x411T7Ex,1,【初音ミク・IA】我叫了應召女郎然後你就來了【ナナホシ管弦楽団(不純異性交遊P),"ナナホシ管弦楽団(不纯异性交游P),初音MIKU,デリヘル呼んだら君が来た,SNT,VOCAROCK,VOCALOID,IA",我叫了應召女郎然後你就來了【ナナホシ管弦楽団(不純異性交遊P),初音ミク・IA
BV1Kx411c7dH,1,【IA】駕雲者,"CIEL(神无月P),VOCALOID,CHRIS,クラウドライダー,神调教,IA",駕雲者,IA
BV11b4y1E71Y,1,もう僕に夏は来ない/feat.IA,"初音,自制,MIKU,VOCALOIDCHINA",もう僕に夏は来ない,IA
BV1ec411V7sk,1,世界上最幸福的死法｜世界で一番幸せな死に方 - 故歌 feat.IA (1080p).mp4,"虚拟歌手,携手虚拟歌手征服世界吧！,VOCALOID,IA",世界上最幸福的死法|世界で一番幸せな死に方 - 故歌 (1080p).mp4,IA
BV1pP4y1876p,1,【IA CeVIO AI】アスノヨゾラ哨戒班,"CeVIO AI,IA,CeVIO",アスノヨゾラ哨戒班,IA CeVIO AI
BV17s411k7eh,1,【庆祝IA上海初演】薬（PV付）,"药不能停,可以，这很逼死,原创曲PV付,VOCALOID,逼死翻唱系列,药,标题不认识,IA",薬(PV付),IA
BV1K3411E7Ho,1,群青列車 / feat.初音ミク ＆ IA,"MIKU,MV,初音MIKU,歌曲,初音,自制,VOCALOIDCHINA",群青列車 / & IA,IA
BV1Lx411w7h7,1,SIDE：IA,"LIA,IA,C81,VOCALOID",SIDE:IA,IA
BV1wb411h7Z8,1,【IA&amp;ONE】山手线之歌（高輪GATEWAY对应）,"山手线之歌,ONE,JR,Lia,日本铁道,东京,山手线,IA",山手线之歌(高輪GATEWAY对应),IA&amp;ONE
BV1sx411w7tZ,1,【 IA 】 現実的論理主義者,"KOYUBI,IA,毒性强,高二病,中毒,ゴボウメン,VOCALOID,IA -ARIA ON THE PLANETES-",現実的論理主義者,IA
